2025-12-30 04:20:14.427734 | 34.36.137.203 -> 192.168.203.133 | TCP | Sport: 443, Dport: 40190
2025-12-30 04:20:14.438587 | 192.168.203.133 -> 34.36.137.203 | TCP | Sport: 40190, Dport: 443
2025-12-30 04:20:14.446312 | 192.168.203.133 -> 34.36.137.203 | TCP | Sport: 40190, Dport: 443
2025-12-30 04:20:14.447766 | 34.36.137.203 -> 192.168.203.133 | TCP | Sport: 443, Dport: 40190
2025-12-30 04:20:14.456287 | 34.36.137.203 -> 192.168.203.133 | TCP | Sport: 443, Dport: 40190
2025-12-30 04:20:14.460457 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.469384 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.477754 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.478752 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57700, Dport: 443
2025-12-30 04:20:14.479240 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.484561 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.488043 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57700
2025-12-30 04:20:14.489222 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.494735 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.498922 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.502895 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.506542 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.510611 | 192.168.203.133 -> 34.36.137.203 | TCP | Sport: 40190, Dport: 443
2025-12-30 04:20:14.514836 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57700
2025-12-30 04:20:14.515810 | 142.251.221.106 -> 192.168.203.133 | TCP | Sport: 443, Dport: 51722
2025-12-30 04:20:14.523863 | 192.168.203.133 -> 142.251.221.106 | TCP | Sport: 51722, Dport: 443
2025-12-30 04:20:14.531216 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.532440 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.533511 | 192.168.203.133 -> 34.160.144.191 | TCP | Sport: 43348, Dport: 443
2025-12-30 04:20:14.534214 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.535042 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
2025-12-30 04:20:14.535710 | 34.160.144.191 -> 192.168.203.133 | TCP | Sport: 443, Dport: 43348
